DATE,COUNTRY,SOURCE,HEADLINE,SUMMARY,TEXT,IMPACT SCORE,IMPACT LEVEL
3/17/1995,Iran,https://www.federalregister.gov/documents/1995/03/17/95-6849/prohibiting-certain-transactions-with-respect-to-the-development-of-iranian-petroleum-resources,Prohibiting Certain Transactions With Respect to the Development of Iranian Petroleum Resources,"Prohibits U.S. persons from entering into, financing, guaranteeing, or managing contracts related to the development of Iranian petroleum resources, including actions that evade or violate these restrictions.","Prohibiting Certain Transactions With Respect to the Development of Iranian Petroleum Resources: Prohibits U.S. persons from entering into, financing, guaranteeing, or managing contracts related to the development of Iranian petroleum resources, including actions that evade or violate these restrictions.",1,Low
3/18/1995,Iran,https://www.federalregister.gov/documents/2011/11/23/2011-30463/authorizing-the-imposition-of-certain-sanctions-with-respect-to-the-provision-of-goods-services,"Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods, Services, Technology, or Support for Iran's Energy and Petrochemical Sectors","Authorizes sanctions on individuals or entities that knowingly provide significant goods, services, technology, or financial support contributing to Iran’s petroleum or petrochemical sectors, including successor or affiliated entities.","Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods, Services, Technology, or Support for Iran's Energy and Petrochemical Sectors: Authorizes sanctions on individuals or entities that knowingly provide significant goods, services, technology, or financial support contributing to Iran’s petroleum or petrochemical sectors, including successor or affiliated entities.",2,Medium
3/19/1995,Iran,https://www.federalregister.gov/documents/2012/05/03/2012-10884/prohibiting-certain-transactions-with-and-suspending-entry-into-the-united-states-of-foreign,Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria,"Blocks U.S.-based property and transactions of individuals involved in supplying surveillance or tracking technology that facilitates serious human rights abuses in Iran or Syria, including supporting entities.","Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria: Blocks U.S.-based property and transactions of individuals involved in supplying surveillance or tracking technology that facilitates serious human rights abuses in Iran or Syria, including supporting entities.",3,Medium
3/20/1995,Iran,https://www.federalregister.gov/documents/2012/05/03/2012-10884/prohibiting-certain-transactions-with-and-suspending-entry-into-the-united-states-of-foreign,Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria,"Authorizes prohibitions on all transactions with foreign persons who violate U.S. sanctions related to Iran or Syria, regardless of prior contracts or licenses unless legally exempted.","Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria: Authorizes prohibitions on all transactions with foreign persons who violate U.S. sanctions related to Iran or Syria, regardless of prior contracts or licenses unless legally exempted.",1,Low
3/21/1995,Iran,https://www.presidency.ucsb.edu/documents/executive-order-13622-authorizing-additional-sanctions-with-respect-iran,Authorizing Additional Sanctions With Respect to Iran,"Allows sanctions on foreign financial institutions facilitating significant transactions involving Iranian petroleum, petrochemical products, or Iranian oil companies, including restrictions on U.S. correspondent accounts.","Authorizing Additional Sanctions With Respect to Iran: Allows sanctions on foreign financial institutions facilitating significant transactions involving Iranian petroleum, petrochemical products, or Iranian oil companies, including restrictions on U.S. correspondent accounts.",5,High
3/22/1995,Iran,https://www.presidency.ucsb.edu/documents/executive-order-13628-authorizing-the-implementation-certain-sanctions-set-forth-the-iran,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Threat Reduction and Syria Human Rights Act of 2012,"Implements sanctions such as loan bans, foreign exchange restrictions, asset blocking, investment prohibitions, and import restrictions on persons sanctioned under U.S. Iran-related laws.","Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Threat Reduction and Syria Human Rights Act of 2012: Implements sanctions such as loan bans, foreign exchange restrictions, asset blocking, investment prohibitions, and import restrictions on persons sanctioned under U.S. Iran-related laws.",3,Medium
3/23/1995,Iran,https://www.presidency.ucsb.edu/documents/executive-order-13645-authorizing-the-implementation-certain-sanctions-set-forth-the-iran,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Freedom and Counter-Proliferation Act of 2012,"Authorizes sanctions on foreign financial institutions involved in significant transactions related to Iranian rials, including blocking assets or restricting correspondent banking access.","Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Freedom and Counter-Proliferation Act of 2012: Authorizes sanctions on foreign financial institutions involved in significant transactions related to Iranian rials, including blocking assets or restricting correspondent banking access.",1,Low
3/24/1995,Iran,https://www.presidency.ucsb.edu/documents/executive-order-13716-revocation-executive-orders-13574-13590-13622-and-13645-with-respect,Revocation of Executive Orders With Respect to Iran,Revokes several prior Iran-related executive orders and amends others to align U.S. sanctions policy with commitments under the Joint Comprehensive Plan of Action (JCPOA).,Revocation of Executive Orders With Respect to Iran: Revokes several prior Iran-related executive orders and amends others to align U.S. sanctions policy with commitments under the Joint Comprehensive Plan of Action (JCPOA).,1,Low
3/25/1995,Iran,https://www.govinfo.gov/content/pkg/DCPD-201800524/pdf/DCPD-201800524.pdf,Reimposing Certain Sanctions With Respect to Iran,"Reimposes blocking sanctions on persons supporting Iran’s energy, shipping, shipbuilding sectors, precious metals trade, SDN-listed entities, and port operations, freezing U.S.-linked assets.","Reimposing Certain Sanctions With Respect to Iran: Reimposes blocking sanctions on persons supporting Iran’s energy, shipping, shipbuilding sectors, precious metals trade, SDN-listed entities, and port operations, freezing U.S.-linked assets.",1,Low
3/26/1995,Iran,https://www.govinfo.gov/content/pkg/FR-2019-06-26/pdf/2019-13793.pdf,Executive Order Imposing Sanctions With Respect to Iran,"Blocks all U.S.-linked property of Iran’s Supreme Leader, senior officials, affiliated entities, and those providing material or financial support to sanctioned persons.","Executive Order Imposing Sanctions With Respect to Iran: Blocks all U.S.-linked property of Iran’s Supreme Leader, senior officials, affiliated entities, and those providing material or financial support to sanctioned persons.",1,Low
