DATE,COUNTRY,SOURCE,HEADLINE,SUMMARY
17-Mar-1995,Iran,https://www.federalregister.gov/documents/1995/03/17/95-6849/prohibiting-certain-transactions-with-respect-to-the-development-of-iranian-petroleum-resources,Prohibiting Certain Transactions With Respect to the Development of Iranian Petroleum Resources,"The following are prohibited, except to the extent provided in
regulations, orders, directives, or licenses that may be issued pursuant to
this order, and notwithstanding any contract entered into or any license
or permit granted prior to the effective date of this order: (a) the entry
into or performance by a United States person, or the approval by a United
States person of the entry into or performance by an entity owned or controlled by a United States person, of (i) a contract that includes overall
supervision and management responsibility for the development of petroleum
resources located in Iran, or (ii) a guaranty of another person’s performance
under such a contract;
(b) the entry into or performance by a United States person, or the approval
by a United States person of the entry into or performance by an entity
owned or controlled by a United States person, of (i) a contract for the
financing of the development of petroleum resources located in Iran, or
(ii) a guaranty of another person’s performance under such a contract; and
(c) any transaction by any United States person or within the United
States that evades or avoids, or has the purpose of evading or avoiding,
or attempts to violate, any of the prohibitions set forth in this order"
23-Nov-2011,Iran,https://www.federalregister.gov/documents/2011/11/23/2011-30463/authorizing-the-imposition-of-certain-sanctions-with-respect-to-the-provision-of-goods-services,"Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods, Services, Technology, or Support for Iran's Energy and Petrochemical Sectors","The Secretary of State, in consultation with the Secretary of
the Treasury, the Secretary of Commerce, and the United States Trade Representative, and with the President of the Export-Import Bank, the Chairman
of the Board of Governors of the Federal Reserve System, and other agencies
and officials as appropriate, is hereby authorized to impose on a person
any of the sanctions described in section 2 or 3 of this order upon determining
that the person:
(a) knowingly, on or after the effective date of this order, sells, leases,
or provides to Iran goods, services, technology, or support that has a fair
market value of $1,000,000 or more or that, during a 12-month period,
has an aggregate fair market value of $5,000,000 or more, and that could
directly and significantly contribute to the maintenance or enhancement
of Iran’s ability to develop petroleum resources located in Iran;
(b) knowingly, on or after the effective date of this order, sells, leases,
or provides to Iran goods, services, technology, or support that has a fair
market value of $250,000 or more or that, during a 12-month period, has
an aggregate fair market value of $1,000,000 or more, and that could directly
and significantly contribute to the maintenance or expansion of Iran’s domestic production of petrochemical products;
(c) is a successor entity to a person referred to in subsection (a) or
(b) of this section;
(d) owns or controls a person referred to in subsection (a) or (b) of
this section, and had actual knowledge or should have known that the
person engaged in the activities referred to in that subsection; or
(e) is owned or controlled by, or under common ownership or control
with, a person referred to in subsection (a) or (b) of this section, and
knowingly participated in the activities referred to in that subsection. "
23-Apr-2012,Iran,https://www.federalregister.gov/documents/2012/05/03/2012-10884/prohibiting-certain-transactions-with-and-suspending-entry-into-the-united-states-of-foreign,Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria,"All property and interests in property that are in the United States, that hereafter come within the United States, or that are or hereafter come within the possession or control of any United States person, including any foreign branch, of the following persons are blocked and may not be transferred, paid, exported, withdrawn, or otherwise dealt in:

(i) the persons listed in the Annex to this order; and

(ii) any person determined by the Secretary of the Treasury, in consultation with or at the recommendation of the Secretary of State:

(A) to have operated, or to have directed the operation of, information and communications technology that facilitates computer or network disruption, monitoring, or tracking that could assist in or enable serious human rights abuses by or on behalf of the Government of Iran or the Government of Syria;

(B) to have sold, leased, or otherwise provided, directly or indirectly, goods, services, or technology to Iran or Syria likely to be used to facilitate computer or network disruption, monitoring, or tracking that could assist in or enable serious human rights abuses by or on behalf of the Government of Iran or the Government of Syria;

(C) to have materially assisted, sponsored, or provided financial, material, or technological support for, or goods or services to or in support of, the activities described in subsections (a)(ii)(A) and (B) of this section or any person whose property and interests in property are blocked pursuant to this order; or

(D) to be owned or controlled by, or to have acted or purported to act for or on behalf of, directly or indirectly, any person whose property and interests in property are blocked pursuant to this order.

(b) The prohibitions in subsection (a) of this section apply except to the extent provided by statutes, or in regulations, orders, directives, or licenses that may be issued pursuant to this order, and notwithstanding any contract entered into or any license or permit granted prior to the effective date of this order."
1-May-2012,Iran,https://www.federalregister.gov/documents/2012/05/03/2012-10884/prohibiting-certain-transactions-with-and-suspending-entry-into-the-united-states-of-foreign,"Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria"," (a) The Secretary of the Treasury, in consultation with the Secretary
of State, is hereby authorized to impose on a foreign person the measures
described in subsection (b) of this section upon determining that the foreign
person:
(i) has violated, attempted to violate, conspired to violate, or caused a
violation of any license, order, regulation, or prohibition contained in,
or issued pursuant to:
(A) any Executive Order relating to the national emergencies declared
in Executive Order 12957 of March 15, 1995, or in Executive Order 13338
of May 11, 2004, as modified in scope in subsequent Executive Orders;
or
(B) to the extent such conduct relates to property and interests in
property of any person subject to United States sanctions concerning Iran
or Syria, Executive Order 13382 of June 28, 2005, any Executive Order
subsequent to Executive Order 13382 of June 28, 2005, that relates to
the national emergency declared in Executive Order 12938 of November
14, 1994, or any Executive Order relating to the national emergency declared in Executive Order 13224 of September 23, 2001;
(ii) has facilitated deceptive transactions for or on behalf of any person
subject to United States sanctions concerning Iran or Syria; or
(iii) is owned or controlled by, or is acting or purporting to act for
or on behalf of, directly or indirectly, any person determined to meet
the criteria set forth in subsection (a) of this section.
(b) With respect to any foreign person determined to meet the criteria
set forth in subsection (a) of this section, the Secretary of the Treasury
may prohibit all transactions or dealings, whether direct or indirect, involving
such person, including any exporting, reexporting, importing, selling, purchasing, transporting, swapping, brokering, approving, financing, facilitating, or guaranteeing, in or related to (i) any goods, services, or technology in
or intended for the United States, or (ii) any goods, services, or technology
provided by or to United States persons, wherever located.
(c) The prohibitions in subsection (b) of this section apply except to
the extent provided by statutes, or in regulations, orders, directives, or
licenses that may be issued pursuant to this order, and notwithstanding
any contract entered into or any license or permit granted prior to the
date of this order. "
30-Jul-2012,Iran,https://www.presidency.ucsb.edu/documents/executive-order-13622-authorizing-additional-sanctions-with-respect-iran,Authorizing Additional Sanctions With Respect to Iran," (a) The Secretary of the Treasury, in consultation with the Secretary of State, is hereby authorized to impose on a foreign financial institution the sanctions described in subsection (b) of this section upon determining that the foreign financial institution has knowingly conducted or facilitated any significant financial transaction:

(i) with the National Iranian Oil Company (NIOC) or Naftiran Intertrade Company (NICO), except for a sale or provision to NIOC or NICO of the products described in section 5(a)(3)(A)(i) of the Iran Sanctions Act of 1996 (Public Law 104-172), as amended, provided that the fair market value of such products is lower than the applicable dollar threshold specified in that provision;

(ii) for the purchase or acquisition of petroleum or petroleum products from Iran; or

(iii) for the purchase or acquisition of petrochemical products from Iran.

(b) With respect to any foreign financial institution determined by the Secretary of the Treasury in accordance with this section to meet the criteria set forth in subsection (a)(i), (a)(ii), or (a)(iii) of this section, the Secretary of the Treasury may prohibit the opening, and prohibit or impose strict conditions on the maintaining, in the United States of a correspondent account or a payable-through account by such foreign financial institution.

(c) Subsections (a)(i) and (ii) of this section shall apply with respect to a significant financial transaction conducted or facilitated by a foreign financial institution only if:

(i) the President determines under subparagraphs (4)(B) and (C) of subsection 1245(d) of the National Defense Authorization Act for Fiscal Year 2012 (Public Law 112-81) (NDAA) that there is a sufficient supply of petroleum and petroleum products from countries other than Iran to permit a significant reduction in the volume of petroleum and petroleum products purchased from Iran by or through foreign financial institutions; and

(ii) an exception under subparagraph 4(D) of subsection 1245(d) of the NDAA from the imposition of sanctions under paragraph (1) of that subsection does not apply with respect to the country with primary jurisdiction over the foreign financial institution.

(d) Subsection (a) of this section shall not apply with respect to any person for conducting or facilitating a transaction for the sale of food, medicine, or medical devices to Iran or when the underlying transaction has been authorized by the Secretary of the Treasury.

(e) The prohibitions in subsection (b) of this section apply except to the extent provided by statutes, or in regulations, orders, directives, or licenses that may be issued pursuant to this order, and notwithstanding any contract entered into or any license or permit granted prior to the effective date of this order."
9-Oct-2012,Iran,https://www.presidency.ucsb.edu/documents/executive-order-13628-authorizing-the-implementation-certain-sanctions-set-forth-the-iran,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Threat Reduction and Syria Human Rights Act of 2012 and Additional Sanctions With Respect to Iran,"(a) When the President, or the Secretary of State or the Secretary of the Treasury pursuant to authority delegated by the President and in accordance with the terms of such delegation, has determined that sanctions shall be imposed on a person pursuant to ISA, CISADA, or ITRSHRA and has, in accordance with those authorities, selected one or more of the sanctions set forth in section 6 of ISA to impose on that person, the Secretary of the Treasury, in consultation with the Secretary of State, shall take the following actions with respect to the sanctions selected and maintained by the President, the Secretary of State, or the Secretary of the Treasury:

(i) with respect to section 6(a)(3) of ISA, prohibit any United States financial institution from making loans or providing credits to the sanctioned person consistent with that section;

(ii) with respect to section 6(a)(6) of ISA, prohibit any transactions in foreign exchange that are subject to the jurisdiction of the United States and in which the sanctioned person has any interest;

(iii) with respect to section 6(a)(7) of ISA, prohibit any transfers of credit or payments between financial institutions or by, through, or to any financial institution, to the extent that such transfers or payments are subject to the jurisdiction of the United States and involve any interest of the sanctioned person;

(iv) with respect to section 6(a)(8) of ISA, block all property and interests in property that are in the United States, that come within the United States, or that are or come within the possession or control of any United States person, including any foreign branch, of the sanctioned person, and provide that such property and interests in property may not be transferred, paid, exported, withdrawn, or otherwise dealt in;

(v) with respect to section 6(a)(9) of ISA, prohibit any United States person from investing in or purchasing significant amounts of equity or debt instruments of a sanctioned person;

(vi) with respect to section 6(a)(11) of ISA, impose on the principal executive officer or officers, or persons performing similar functions and with similar authorities, of a sanctioned person the sanctions described in sections 6(a)(3), 6(a)(6), (6)(a)(7), 6(a)(8), 6(a)(9), or 6(a)(12) of ISA, as selected by the President, Secretary of State, or Secretary of the Treasury, as appropriate; or

(vii) with respect to section 6(a)(12) of ISA, restrict or prohibit imports of goods, technology, or services, directly or indirectly, into the United States from the sanctioned person.

(b) The prohibitions in subsection (a) of this section apply except to the extent provided by statutes, or in regulations, orders, directives, or licenses that may be issued pursuant to this order, and notwithstanding any contract entered into or any license or permit granted prior to the date of this order"
3-Jun-2013,Iran,https://www.presidency.ucsb.edu/documents/executive-order-13645-authorizing-the-implementation-certain-sanctions-set-forth-the-iran,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Freedom and Counter-Proliferation Act of 2012 and Additional Sanctions With Respect to Iran," (a) The Secretary of the Treasury, in consultation with the Secretary of State, is hereby authorized to impose on a foreign financial institution the sanctions described in subsection (b) of this section upon determining that the foreign financial institution has, on or after the effective date of this order:

(i) knowingly conducted or facilitated any significant transaction related to the purchase or sale of Iranian rials or a derivative, swap, future, forward, or other similar contract whose value is based on the exchange rate of the Iranian rial; or

(ii) maintained significant funds or accounts outside the territory of Iran denominated in the Iranian rial.

(b) With respect to any foreign financial institution determined by the Secretary of the Treasury in accordance with this section to meet the criteria set forth in subsection (a)(i) or (a)(ii) of this section, the Secretary of the Treasury may:

(i) prohibit the opening, and prohibit or impose strict conditions on the maintaining, in the United States of a correspondent account or a payable-through account by such foreign financial institution; or

(ii) block all property and interests in property that are in the United States, that hereafter come within the United States, or that are or hereafter come within the possession or control of any United States person (including any foreign branch) of such foreign financial institution, and provide that such property and interests in property may not be transferred, paid, exported, withdrawn, or otherwise dealt in.

(c) The prohibitions in subsection (b) of this section apply except to the extent provided by statutes, or in regulations, orders, directives, or licenses that may be issued pursuant to this order, and notwithstanding any contract entered into or any license or permit granted prior to the effective date of this order"
4/15/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Foreign Affairs Council focused on the situation in Eastern Ukraine,The Council decided to strengthen sanctions against persons responsible for misappropriating Ukrainian state funds and targeted additional individuals under the assets freeze and travel ban.
5/12/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Agreement on a new set of sanctions,"In light of events in Eastern Ukraine and the illegal confiscation of entities in Crimea, the Council agreed on a new set of sanctions and took note of the preparatory work done by the Commission and Member States on possible targeted measures, as requested by the European Council in March."
6/23/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Import ban on goods from Crimea,The Council adopted measures to implement the EU's policy of non-recognition of the illegal annexation of Crimea and decided on a ban on goods originating from Crimea or Sevastopol.
