DATE,COUNTRY,SOURCE,HEADLINE,SUMMARY,TEXT,IMPACT SCORE,IMPACT LEVEL
4/15/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Foreign Affairs Council focused on the situation in Eastern Ukraine,The Council decided to strengthen sanctions against persons responsible for misappropriating Ukrainian state funds and targeted additional individuals under the assets freeze and travel ban.,Foreign Affairs Council focused on the situation in Eastern Ukraine: The Council decided to strengthen sanctions against persons responsible for misappropriating Ukrainian state funds and targeted additional individuals under the assets freeze and travel ban.,2,Medium
5/12/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Agreement on a new set of sanctions,"In light of events in Eastern Ukraine and the illegal confiscation of entities in Crimea, the Council agreed on a new set of sanctions and took note of the preparatory work done by the Commission and Member States on possible targeted measures, as requested by the European Council in March.","Agreement on a new set of sanctions: In light of events in Eastern Ukraine and the illegal confiscation of entities in Crimea, the Council agreed on a new set of sanctions and took note of the preparatory work done by the Commission and Member States on possible targeted measures, as requested by the European Council in March.",2,Medium
6/23/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Import ban on goods from Crimea,The Council adopted measures to implement the EU's policy of non-recognition of the illegal annexation of Crimea and decided on a ban on goods originating from Crimea or Sevastopol.,Import ban on goods from Crimea: The Council adopted measures to implement the EU's policy of non-recognition of the illegal annexation of Crimea and decided on a ban on goods originating from Crimea or Sevastopol.,4,High
6/26/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council conclusions,EU leaders set out four specific steps to be taken by Russia and the separatists for de-escalation. They also signed the Association Agreement with Ukraine.,European Council conclusions: EU leaders set out four specific steps to be taken by Russia and the separatists for de-escalation. They also signed the Association Agreement with Ukraine.,1,Low
7/16/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Special meeting of the European Council,EU leaders regretted that Russia and the separatists had not taken the requested steps set out in the June European Council conclusions. They agreed to target Russia with a new set of 6 restrictive measures including restriction on economic cooperation with Russia.,Special meeting of the European Council: EU leaders regretted that Russia and the separatists had not taken the requested steps set out in the June European Council conclusions. They agreed to target Russia with a new set of 6 restrictive measures including restriction on economic cooperation with Russia.,1,Low
7/18/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Ukraine crisis: EU broadens remit of sanctions,The Council widened the legal basis for EU restrictive measures making it possible to target entities which materially or financially support actions against Ukraine.,Ukraine crisis: EU broadens remit of sanctions: The Council widened the legal basis for EU restrictive measures making it possible to target entities which materially or financially support actions against Ukraine.,1,Low
7/22/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Council takes action following the downing of flight MH17,"EU ministers discussed the situation in Ukraine following the downing of flight MH17. They asked to finalise preparatory work for economic sanctions in four sectors, paving the way for their adoption.","Council takes action following the downing of flight MH17: EU ministers discussed the situation in Ukraine following the downing of flight MH17. They asked to finalise preparatory work for economic sanctions in four sectors, paving the way for their adoption.",5,High
7/25/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Further EU sanctions over situation in Eastern Ukraine,The Council adopted reinforced EU sanctions. The Council's Committee of Permanent Representatives (Coreper) also discussed the preparatory work on further targeted measures.,Further EU sanctions over situation in Eastern Ukraine: The Council adopted reinforced EU sanctions. The Council's Committee of Permanent Representatives (Coreper) also discussed the preparatory work on further targeted measures.,1,Low
7/29/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Adoption of additional restrictive measures against Russia,"Following the conclusions of the European Council meeting of 16 July, the Council adopted a package of targeted 'economic sanctions'. These measures concern exchanges with Russia in specific economic sectors.","Adoption of additional restrictive measures against Russia: Following the conclusions of the European Council meeting of 16 July, the Council adopted a package of targeted 'economic sanctions'. These measures concern exchanges with Russia in specific economic sectors.",5,High
8/30/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Special meeting of the European Council,"Following the dramatic escalation of the situation, with the presence and actions of Russian armed forces on the Ukrainian territory, the European Council asked for the preparation of new economic sanctions against Russia.","Special meeting of the European Council: Following the dramatic escalation of the situation, with the presence and actions of Russian armed forces on the Ukrainian territory, the European Council asked for the preparation of new economic sanctions against Russia.",5,High
9/12/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Further economic sanctions on Russia,"A new package of restrictive measures targeting exchanges with Russia in specific economic sectors entered into force, reinforcing the measures adopted on 31 July.","Further economic sanctions on Russia: A new package of restrictive measures targeting exchanges with Russia in specific economic sectors entered into force, reinforcing the measures adopted on 31 July.",5,High
11/17/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,New sanctions under consideration,Ukraine was the main focus of the Foreign Affairs Council. EU ministers asked the European External Action Service (EEAS) and the European Commission to present a proposal on further sanctions against separatists.,New sanctions under consideration: Ukraine was the main focus of the Foreign Affairs Council. EU ministers asked the European External Action Service (EEAS) and the European Commission to present a proposal on further sanctions against separatists.,1,Low
11/28/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU strengthens sanctions against separatists in Eastern Ukraine,"As requested by the Foreign Affairs Council of 17 November, an asset freeze and an EU travel ban were imposed to 13 persons and five entities involved in action against Ukraine's territorial integrity. This decision brought the total of persons subject to EU sanctions over Ukraine's territorial integrity to 132 and the number of entities under EU asset freeze to 28.","EU strengthens sanctions against separatists in Eastern Ukraine: As requested by the Foreign Affairs Council of 17 November, an asset freeze and an EU travel ban were imposed to 13 persons and five entities involved in action against Ukraine's territorial integrity. This decision brought the total of persons subject to EU sanctions over Ukraine's territorial integrity to 132 and the number of entities under EU asset freeze to 28.",1,Low
12/18/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council focused on the eastern neighbourhood,"EU leaders discussed the situation on the eastern borders of Europe, support to Ukraine and relations with Russia. They welcomed the strengthening of the sanctions on investment, services and trade with Crimea and Sevastopol.","European Council focused on the eastern neighbourhood: EU leaders discussed the situation on the eastern borders of Europe, support to Ukraine and relations with Russia. They welcomed the strengthening of the sanctions on investment, services and trade with Crimea and Sevastopol.",2,Medium
1/29/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of existing individual restrictive measures,"The Council strongly condemned the indiscriminate shelling of the residential areas, especially in Mariupol, and the escalation of fighting in the Donetsk and Luhansk regions of Ukraine. In response to those events, the Council agreed to extend the existing individual restrictive measures, targeting 132 persons and 28 entities for threatening or undermining Ukraine's sovereignty and territorial integrity, until September 2015. It also called for a proposal on additional designations for decision at the Foreign Affairs Council on 9 February 2015.","Extension of existing individual restrictive measures: The Council strongly condemned the indiscriminate shelling of the residential areas, especially in Mariupol, and the escalation of fighting in the Donetsk and Luhansk regions of Ukraine. In response to those events, the Council agreed to extend the existing individual restrictive measures, targeting 132 persons and 28 entities for threatening or undermining Ukraine's sovereignty and territorial integrity, until September 2015. It also called for a proposal on additional designations for decision at the Foreign Affairs Council on 9 February 2015.",2,Medium
2/9/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Additional listings on hold,"The Council unanimously adopted additional listings concerning separatists in Eastern Ukraine and their supporters in Russia. These consist of an asset freeze and a travel ban on 19 persons and 9 entities involved in action against Ukraine's territorial integrity. To give space for diplomatic efforts and the Minsk talks, the Council put the entry into force of the measures on hold until Monday 16 February 2015.","Additional listings on hold: The Council unanimously adopted additional listings concerning separatists in Eastern Ukraine and their supporters in Russia. These consist of an asset freeze and a travel ban on 19 persons and 9 entities involved in action against Ukraine's territorial integrity. To give space for diplomatic efforts and the Minsk talks, the Council put the entry into force of the measures on hold until Monday 16 February 2015.",1,Low
2/12/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU leaders welcomed the results of the Minsk agreement,"At an informal meeting of heads of state or government, EU leaders gave cautious support to the Minsk agreement. They indicated that they will not hesitate to take the necessary steps if the agreement is not implemented and the ceasefire is not respected.","EU leaders welcomed the results of the Minsk agreement: At an informal meeting of heads of state or government, EU leaders gave cautious support to the Minsk agreement. They indicated that they will not hesitate to take the necessary steps if the agreement is not implemented and the ceasefire is not respected.",1,Low
2/16/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU strengthens sanctions against separatists in Eastern Ukraine,"As requested by the Foreign Affairs Council of 9 February, an asset freeze and an EU travel ban were imposed to 19 persons and 9 entities involved in action against Ukraine's territorial integrity.","EU strengthens sanctions against separatists in Eastern Ukraine: As requested by the Foreign Affairs Council of 9 February, an asset freeze and an EU travel ban were imposed to 19 persons and 9 entities involved in action against Ukraine's territorial integrity.",1,Low
3/5/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council adjusted and extended EU restrictive measures focused on the freezing and recovery of misappropriated Ukrainian state funds.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council adjusted and extended EU restrictive measures focused on the freezing and recovery of misappropriated Ukrainian state funds.,2,Medium
3/13/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over action against Ukraine's territorial integrity,"The Council extended until 15 September 2015 the application of EU restrictive measures targeting action against Ukraine's sovereignty, territorial integrity and independence. 150 persons and 37 entities are subject to asset freeze and travel bans under these sanctions.","Extension of EU sanctions over action against Ukraine's territorial integrity: The Council extended until 15 September 2015 the application of EU restrictive measures targeting action against Ukraine's sovereignty, territorial integrity and independence. 150 persons and 37 entities are subject to asset freeze and travel bans under these sanctions.",2,Medium
3/19/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council,"Leaders decided to align the existing sanctions regime to the implementation of the Minsk agreements. Economic sanctions will remain enforced until the end of 2015 when the last point of the peace plan is to be implemented: Ukraine regaining control over its borders in the east. EU leaders also stressed the need to challenge Russia's ongoing campaign of public disinformation about the conflict in Ukraine. The EU High Representative, Federica Mogherini, was invited to prepare an action plan on strategic communication for the June European Council. EU leaders agreed on the objectives of the Eastern Partnership summit, which then took place in Riga on 21-22 May 2015. The European Council repeated its commitment to the eastern partners and set as a priority to strengthen the democratic institutions to the east.","European Council: Leaders decided to align the existing sanctions regime to the implementation of the Minsk agreements. Economic sanctions will remain enforced until the end of 2015 when the last point of the peace plan is to be implemented: Ukraine regaining control over its borders in the east. EU leaders also stressed the need to challenge Russia's ongoing campaign of public disinformation about the conflict in Ukraine. The EU High Representative, Federica Mogherini, was invited to prepare an action plan on strategic communication for the June European Council. EU leaders agreed on the objectives of the Eastern Partnership summit, which then took place in Riga on 21-22 May 2015. The European Council repeated its commitment to the eastern partners and set as a priority to strengthen the democratic institutions to the east.",5,High
6/5/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended the asset freeze for three persons covered by measures applying until 6 June 2015.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended the asset freeze for three persons covered by measures applying until 6 June 2015.,2,Medium
6/19/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of restrictions in response to the illegal annexation of Crimea and Sevastopol,"The Council extended until 23 June 2016 the EU restrictive measures in response to the illegal annexation of Crimea and Sevastopol. These measures include prohibitions on import of products, investment, tourism services and exports of certain goods and technologies.","Extension of restrictions in response to the illegal annexation of Crimea and Sevastopol: The Council extended until 23 June 2016 the EU restrictive measures in response to the illegal annexation of Crimea and Sevastopol. These measures include prohibitions on import of products, investment, tourism services and exports of certain goods and technologies.",2,Medium
